                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.72549,                0.38727,                0.86019,                0.94205,                0.94056,                0.97389,                0.74696,                0.98441,                 0.4687,                 0.9572,               0.005446,               0.005446,               0.005446
                    117,                0.68935,                0.36362,                0.85688,                0.94537,                0.93812,                0.97854,                0.75319,                0.94215,                0.46087,                0.94368,              0.0054064,              0.0054064,              0.0054064
                    118,                0.71016,                0.37185,                0.85714,                0.92071,                0.98222,                0.98586,                0.74973,                0.98877,                0.42941,                0.95655,              0.0053668,              0.0053668,              0.0053668
                    119,                0.69461,                0.36907,                0.85345,                 0.9467,                0.96145,                0.98093,                0.76444,                 0.9373,                0.43989,                0.94718,              0.0053272,              0.0053272,              0.0053272
                    120,                 0.7129,                0.36793,                0.86257,                0.94739,                0.92086,                 0.9794,                0.72115,                 1.0322,                0.46312,                0.97206,              0.0052876,              0.0052876,              0.0052876
                    121,                0.69788,                0.36366,                0.85229,                0.97649,                0.92003,                0.98305,                0.78399,                0.94494,                0.45747,                0.94846,               0.005248,               0.005248,               0.005248
                    122,                0.69801,                0.37216,                0.85365,                0.92486,                0.94299,                0.98095,                0.75449,                0.98632,                 0.4643,                0.97671,              0.0052084,              0.0052084,              0.0052084
                    123,                0.68414,                0.36364,                0.85429,                0.95235,                0.96926,                0.98808,                0.76211,                0.98391,                0.44729,                0.96431,              0.0051688,              0.0051688,              0.0051688
                    124,                0.69061,                0.36936,                0.85102,                0.94158,                0.94916,                0.98591,                0.76551,                0.97331,                0.46706,                0.96435,              0.0051292,              0.0051292,              0.0051292
                    125,                0.68967,                0.36802,                0.85645,                0.93906,                0.96667,                0.98396,                0.75554,                 1.0066,                0.46701,                0.96277,              0.0050896,              0.0050896,              0.0050896
                    126,                0.69564,                0.36556,                0.85955,                0.92136,                0.96104,                0.97505,                0.74593,                0.95882,                0.44577,                0.94639,                0.00505,                0.00505,                0.00505
                    127,                0.68305,                0.36026,                0.85408,                0.92856,                0.94268,                0.97841,                0.74914,                  1.001,                0.45501,                0.97007,              0.0050104,              0.0050104,              0.0050104
                    128,                0.70217,                  0.371,                0.84737,                0.90478,                0.94422,                0.97752,                0.74472,                0.98921,                0.47204,                0.97842,              0.0049708,              0.0049708,              0.0049708
                    129,                0.68619,                0.35996,                0.85511,                0.95935,                0.92408,                0.97996,                0.76585,                0.96018,                0.45887,                0.96367,              0.0049312,              0.0049312,              0.0049312
                    130,                0.67528,                  0.353,                0.85071,                0.94983,                0.91431,                0.95968,                0.76148,                0.93751,                 0.4821,                0.95303,              0.0048916,              0.0048916,              0.0048916
                    131,                0.70535,                0.37441,                0.85333,                0.95521,                0.92819,                0.97171,                0.74683,                0.98008,                0.47765,                 0.9535,               0.004852,               0.004852,               0.004852
                    132,                0.68723,                0.35976,                0.85204,                0.90736,                 0.9881,                0.98457,                 0.7751,                0.95833,                0.42867,                0.96178,              0.0048124,              0.0048124,              0.0048124
                    133,                0.67348,                0.35662,                0.85535,                0.93434,                 0.9506,                0.98278,                 0.7632,                0.98861,                0.44991,                0.96815,              0.0047728,              0.0047728,              0.0047728
